[2021-05-03T23:32:00.569] [INFO] default - 开始拷贝
[2021-05-03T23:34:37.478] [INFO] default - 生成结束，目标地址： F:\workspace\publish\react\src\styles\com.less
[2021-05-03T23:34:37.789] [INFO] default - 生成文件： F:\workspace\publish\react\es\BtnList\index.less
[2021-05-03T23:34:37.915] [INFO] default - 生成文件： F:\workspace\publish\react\es\ComView\index.less
[2021-05-03T23:34:38.184] [INFO] default - 生成文件： F:\workspace\publish\react\es\Flex\index.less
[2021-05-03T23:34:38.248] [INFO] default - 生成文件： F:\workspace\publish\react\es\Form\index.less
[2021-05-03T23:34:39.274] [INFO] default - 生成文件： F:\workspace\publish\react\es\Link\index.less
[2021-05-03T23:34:39.338] [INFO] default - 生成文件： F:\workspace\publish\react\es\List\index.less
[2021-05-03T23:34:39.401] [INFO] default - 生成文件： F:\workspace\publish\react\es\Modal\index.less
[2021-05-03T23:34:39.465] [INFO] default - 生成文件： F:\workspace\publish\react\es\OptionInput\index.less
[2021-05-03T23:34:39.529] [INFO] default - 生成文件： F:\workspace\publish\react\es\Pagination\index.less
[2021-05-03T23:34:39.703] [INFO] default - 生成文件： F:\workspace\publish\react\es\styles\common.less
[2021-05-03T23:34:39.782] [INFO] default - 生成文件： F:\workspace\publish\react\es\SvgEditor\index.less
[2021-05-03T23:34:39.910] [INFO] default - 生成文件： F:\workspace\publish\react\es\Swiper\index.less
[2021-05-03T23:34:40.022] [INFO] default - 生成文件： F:\workspace\publish\react\es\Table\index.less
[2021-05-03T23:34:40.084] [INFO] default - 生成文件： F:\workspace\publish\react\es\Tabs\index.less
[2021-05-03T23:34:40.131] [INFO] default - 生成文件： F:\workspace\publish\react\es\Text\index.less
[2021-05-03T23:34:40.195] [INFO] default - 生成文件： F:\workspace\publish\react\es\Tree\index.less
[2021-05-03T23:34:40.257] [INFO] default - 生成文件： F:\workspace\publish\react\es\Upload\index.less
[2021-05-03T23:34:40.371] [INFO] default - 生成结束，地址： F:\workspace\publish\react\src\styles\com.less
[2021-05-03T23:34:40.372] [INFO] default - 开始编译成css，地址： F:\workspace\publish\react\dist\react.css
[2021-05-03T23:35:00.247] [INFO] default - 生成结束，目标地址： F:\workspace\publish\react\src\styles\com.less
[2021-05-03T23:35:00.563] [INFO] default - 生成文件： F:\workspace\publish\react\es\BtnList\index.less
[2021-05-03T23:35:00.689] [INFO] default - 生成文件： F:\workspace\publish\react\es\ComView\index.less
[2021-05-03T23:35:00.991] [INFO] default - 生成文件： F:\workspace\publish\react\es\Flex\index.less
[2021-05-03T23:35:01.054] [INFO] default - 生成文件： F:\workspace\publish\react\es\Form\index.less
[2021-05-03T23:35:02.092] [INFO] default - 生成文件： F:\workspace\publish\react\es\Link\index.less
[2021-05-03T23:35:02.140] [INFO] default - 生成文件： F:\workspace\publish\react\es\List\index.less
[2021-05-03T23:35:02.204] [INFO] default - 生成文件： F:\workspace\publish\react\es\Modal\index.less
[2021-05-03T23:35:02.268] [INFO] default - 生成文件： F:\workspace\publish\react\es\OptionInput\index.less
[2021-05-03T23:35:02.332] [INFO] default - 生成文件： F:\workspace\publish\react\es\Pagination\index.less
[2021-05-03T23:35:02.523] [INFO] default - 生成文件： F:\workspace\publish\react\es\styles\common.less
[2021-05-03T23:35:02.634] [INFO] default - 生成文件： F:\workspace\publish\react\es\SvgEditor\index.less
[2021-05-03T23:35:02.745] [INFO] default - 生成文件： F:\workspace\publish\react\es\Swiper\index.less
[2021-05-03T23:35:02.854] [INFO] default - 生成文件： F:\workspace\publish\react\es\Table\index.less
[2021-05-03T23:35:02.918] [INFO] default - 生成文件： F:\workspace\publish\react\es\Tabs\index.less
[2021-05-03T23:35:02.982] [INFO] default - 生成文件： F:\workspace\publish\react\es\Text\index.less
[2021-05-03T23:35:03.046] [INFO] default - 生成文件： F:\workspace\publish\react\es\Tree\index.less
[2021-05-03T23:35:03.110] [INFO] default - 生成文件： F:\workspace\publish\react\es\Upload\index.less
[2021-05-03T23:35:03.207] [INFO] default - 生成结束，地址： F:\workspace\publish\react\src\styles\com.less
[2021-05-03T23:35:03.209] [INFO] default - 开始编译成css，地址： F:\workspace\publish\react\dist\react.css
[2021-05-03T23:35:07.539] [INFO] default - 开始拷贝
